"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::ALLUSERSPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","ALLUSERSPROFILE","ALLUSERSPROFILE","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::APPDATA","Env","Microsoft.PowerShell.Core\Environment","False","APPDATA","APPDATA","C:\Users\ketov\AppData\Roaming"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles","CommonProgramFiles","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles(x86)","CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramW6432","CommonProgramW6432","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::COMPUTERNAME","Env","Microsoft.PowerShell.Core\Environment","False","COMPUTERNAME","COMPUTERNAME","9700GTX"
"Microsoft.PowerShell.Core\Environment::ComSpec","Env","Microsoft.PowerShell.Core\Environment","False","ComSpec","ComSpec","C:\WINDOWS\system32\cmd.exe"
"Microsoft.PowerShell.Core\Environment::CONDA_PROMPT_MODIFIER","Env","Microsoft.PowerShell.Core\Environment","False","CONDA_PROMPT_MODIFIER","CONDA_PROMPT_MODIFIER","False"
"Microsoft.PowerShell.Core\Environment::DriverData","Env","Microsoft.PowerShell.Core\Environment","False","DriverData","DriverData","C:\Windows\System32\Drivers\DriverData"
"Microsoft.PowerShell.Core\Environment::EFC_7440_1262719628","Env","Microsoft.PowerShell.Core\Environment","False","EFC_7440_1262719628","EFC_7440_1262719628","1"
"Microsoft.PowerShell.Core\Environment::EFC_7440_1592913036","Env","Microsoft.PowerShell.Core\Environment","False","EFC_7440_1592913036","EFC_7440_1592913036","1"
"Microsoft.PowerShell.Core\Environment::EFC_7440_2283032206","Env","Microsoft.PowerShell.Core\Environment","False","EFC_7440_2283032206","EFC_7440_2283032206","1"
